Sample_ID	JG_OTU	Group
ZDP_1170a	Zmm-LR-CONN-Mex-JUAN-2	ZMMLR
ZDP_0669b	Zmm-LR-CONN-Mex-MARR	ZMMLR
ZDP_0860b	Zmm-LR-CONN-Mex-NOCH	ZMMLR
ZDP_0002a	Zmm-LR-CONN-Mex-TEPE	ZMMLR
ZDP_0077a	Zmm-LR-CORA-Bol-PUER	ZMMLR
ZDP_0080b	Zmm-LR-CORA-Bol-SOLE	ZMMLR
ZDP_0136a	Zmm-LR-CORA-Bol-TALA	ZMMLR
ZDP_0131a	Zmm-LR-CORA-Bol-VACA	ZMMLR
ZDP_0138a	Zmm-LR-CORB-Bol-BENI	ZMMLR
ZDP_0141a	Zmm-LR-CORB-Bol-PAND	ZMMLR
ZDP_0353b	Zmm-LR-CORB-Bol-REYE	ZMMLR
ZDP_0134a	Zmm-LR-CORB-Bol-TALA	ZMMLR
ZDP_0139a	Zmm-LR-CORO-Bol-BENI	ZMMLR
ZDP_1211b	Zmm-LR-CORO-Bol-NORI-1	ZMMLR
ZDP_1482a	Zmm-LR-CORO-Bol-NORI-2	ZMMLR
ZDP_0140a	Zmm-LR-CORO-Bol-PAND	ZMMLR
S1830	Zmm-LR-CORO-Bol-SJOA-1	ZMMLR
ZDP_0130a	Zmm-LR-CORO-Bol-SJOA-2	ZMMLR
ZDP_0135a	Zmm-LR-CORO-Bol-TALA	ZMMLR
ZDP_0940a	Zmm-LR-CORU-Per-SAMA-1	ZMMLR
ZDP_0949b	Zmm-LR-CORU-Per-SAMA-2	ZMMLR
ZDP_0938a	Zmm-LR-COSC-Mex-CUCH-1	ZMMLR
